Sample	espK	espN	espV	Serotype
GCA_000025165.1_ASM2516v1	0	0	0	O55:H7
GCA_000026545.1_ASM2654v1	0	0	0	O127:H6
GCA_000245515.1_ASM24551v1	0	0	0	O55:H7
GCA_001900515.1_ASM190051v1	0	0	0	O15:H2
GCA_001901425.1_ASM190142v1	0	0	0	O15:H2
GCA_002057355.1_ASM205735v1	0	0	0	O156:H8
GCA_002855325.1_ASM285532v1	0	0	0	O115:H10
GCA_002951855.1_ASM295185v1	0	0	0	-:H6
GCA_003018475.1_ASM301847v1	0	0	0	O145:H34
GCA_003043915.1_ASM304391v1	0	0	0	O145:H34
GCA_003044015.1_ASM304401v1	0	0	0	O145:H34
GCA_003325975.1_ASM332597v1	0	0	0	O109:H21
GCA_003352425.1_ASM335242v1	0	0	0	O11:H16
GCA_004804185.1_ASM480418v1	0	0	0	O63:H6
GCA_004804205.1_ASM480420v1	0	0	0	O63:H6
GCA_008124005.1_ASM812400v1	0	0	0	O80:H26
GCA_008370755.1_ASM837075v1	0	0	0	O109:H21
GCA_009720605.1_ASM972060v1	0	0	0	O153/O178:H7
GCA_011996085.1_ASM1199608v1	0	0	0	O4:H11
GCA_013167255.1_ASM1316725v1	0	0	0	O55:H7
GCA_013167975.1_ASM1316797v1	0	0	0	O55:H7
GCA_013167995.1_ASM1316799v1	0	0	0	O55:H7
GCA_013168015.1_ASM1316801v1	0	0	0	O55:H7
GCA_013729295.1_ASM1372929v1	0	0	0	O49:H10
GCA_013823335.1_ASM1382333v1	0	0	0	-:H45
GCA_013823865.1_ASM1382386v1	0	0	0	O146:H21
GCA_013835585.1_ASM1383558v1	0	0	0	O15:H2
GCA_014117345.2_ASM1411734v2	0	0	0	O127:H6
GCA_016026195.1_ASM1602619v1	0	0	0	O55:H7
GCA_016803935.1_ASM1680393v1	0	0	0	O84:H7
GCA_022493415.1_ASM2249341v1	0	0	0	O123/O186:H45
GCA_022493875.1_ASM2249387v1	0	0	0	-:H38
GCA_023612455.1_ASM2361245v1	0	0	0	O61:H9
GCA_032379415.1_ASM3237941v1	0	0	0	O51:H40
GCA_036702845.1_ASM3670284v1	0	0	0	O101/O162:H33
GCA_037525705.1_ASM3752570v1	0	0	0	O63:H6
GCA_037526635.1_ASM3752663v1	0	0	0	O49:H10
GCA_037527585.1_ASM3752758v1	0	0	0	O28/O42:H16
GCA_037528475.1_ASM3752847v1	0	0	0	O49:H10
GCA_037529465.1_ASM3752946v1	0	0	0	O84:H14
GCA_037532135.1_ASM3753213v1	0	0	0	O29:H4
GCA_037533205.1_ASM3753320v1	0	0	0	-:H7
GCA_037534815.1_ASM3753481v1	0	0	0	O29:H4
GCA_037542475.1_ASM3754247v1	0	0	0	O137:H6
GCA_037543765.1_ASM3754376v1	0	0	0	O33:H6
GCA_037546845.1_ASM3754684v1	0	0	0	O81:H6
GCA_037548315.1_ASM3754831v1	0	0	0	O156:H1
GCA_037552115.1_ASM3755211v1	0	0	0	-:H6
GCA_037553545.1_ASM3755354v1	0	0	0	-:H6
GCA_037553955.1_ASM3755395v1	0	0	0	O90/O127:H40
GCA_037557155.1_ASM3755715v1	0	0	0	O107/O117:H21
GCA_037560265.1_ASM3756026v1	0	0	0	O25:H48
GCA_037565025.1_ASM3756502v1	0	0	0	O156:H1
GCA_037572835.1_ASM3757283v1	0	0	0	O123/O186:H40
GCA_037577485.1_ASM3757748v1	0	0	0	O55:H7
GCA_037577885.1_ASM3757788v1	0	0	0	O88:H25
GCA_037579575.1_ASM3757957v1	0	0	0	O88:H25
GCA_037582995.1_ASM3758299v1	0	0	0	O156:H1
GCA_037623895.1_ASM3762389v1	0	0	0	O174:H7
GCA_037738255.1_ASM3773825v1	0	0	0	O145:H34
GCA_037920625.1_ASM3792062v1	0	0	0	O107/O117:H21
GCA_039909185.1_ASM3990918v1	0	0	0	O45:H11
GCA_039909355.1_ASM3990935v1	0	0	0	O45:H11
GCA_039909435.1_ASM3990943v1	0	0	0	O45:H11
GCA_039909525.1_ASM3990952v1	0	0	0	O45:H11
GCA_045344495.1_ASM4534449v1	0	0	0	O85:H21
GCA_045344505.1_ASM4534450v1	0	0	0	O107/O117:H21
GCA_045344515.1_ASM4534451v1	0	0	0	O167:H9
GCA_045344545.1_ASM4534454v1	0	0	0	O153/O178:H7
GCA_045344555.1_ASM4534455v1	0	0	0	O153/O178:H7
GCA_045344565.1_ASM4534456v1	0	0	0	-:H6
GCA_045344615.1_ASM4534461v1	0	0	0	O51:H49
GCA_045344725.1_ASM4534472v1	0	0	0	O145:H34
GCA_045344735.1_ASM4534473v1	0	0	0	O109:H21
GCA_045344995.1_ASM4534499v1	0	0	0	-:H48
GCA_045345065.1_ASM4534506v1	0	0	0	O70:H11
GCA_048569035.1_ASM4856903v1	0	0	0	O26:H11
GCA_051012475.1_ASM5101247v1	0	0	0	O26:H11
GCA_051012485.1_ASM5101248v1	0	0	0	O26:H11
GCA_900149875.1_EPEC1	0	0	0	O127:H6
GCA_900149915.1_EPEC	0	0	0	O127:H6
GCA_902810315.1_SC434	0	0	0	O71:H27
GCA_902810345.1_SC455	0	0	0	O71:H27
GCA_902810395.1_SC477	0	0	0	O71:H27
GCA_964049705.1_30134	0	0	0	O137:H6
GCA_964053125.1_30224	0	0	0	O24:H6
GCF_000025165.1_ASM2516v1	0	0	0	O55:H7
GCF_000026545.1_ASM2654v1	0	0	0	O127:H6
GCF_000245515.1_ASM24551v1	0	0	0	O55:H7
GCF_001900515.1_ASM190051v1	0	0	0	O15:H2
GCF_001901425.1_ASM190142v1	0	0	0	O15:H2
GCF_002057355.1_ASM205735v1	0	0	0	O156:H8
GCF_002855325.1_ASM285532v1	0	0	0	O115:H10
GCF_002951855.1_ASM295185v1	0	0	0	-:H6
GCF_003018475.1_ASM301847v1	0	0	0	O145:H34
GCF_003043915.1_ASM304391v1	0	0	0	O145:H34
GCF_003044015.1_ASM304401v1	0	0	0	O145:H34
GCF_003325975.1_ASM332597v1	0	0	0	O109:H21
GCF_003352425.1_ASM335242v1	0	0	0	O11:H16
GCF_004804185.1_ASM480418v1	0	0	0	O63:H6
GCF_004804205.1_ASM480420v1	0	0	0	O63:H6
GCF_008124005.1_ASM812400v1	0	0	0	O80:H26
GCF_008370755.1_ASM837075v1	0	0	0	O109:H21
GCF_009720605.1_ASM972060v1	0	0	0	O153/O178:H7
GCF_011996085.1_ASM1199608v1	0	0	0	O4:H11
GCF_013167255.1_ASM1316725v1	0	0	0	O55:H7
GCF_013167975.1_ASM1316797v1	0	0	0	O55:H7
GCF_013167995.1_ASM1316799v1	0	0	0	O55:H7
GCF_013168015.1_ASM1316801v1	0	0	0	O55:H7
GCF_014117345.2_ASM1411734v2	0	0	0	O127:H6
GCF_016026195.1_ASM1602619v1	0	0	0	O55:H7
GCF_016803935.1_ASM1680393v1	0	0	0	O84:H7
GCF_022493415.1_ASM2249341v1	0	0	0	O123/O186:H45
GCF_022493875.1_ASM2249387v1	0	0	0	-:H38
GCF_023612455.1_ASM2361245v1	0	0	0	O61:H9
GCF_032379415.1_ASM3237941v1	0	0	0	O51:H40
GCF_036702845.1_ASM3670284v1	0	0	0	O101/O162:H33
GCF_037525705.1_ASM3752570v1	0	0	0	O63:H6
GCF_037526635.1_ASM3752663v1	0	0	0	O49:H10
GCF_037527585.1_ASM3752758v1	0	0	0	O28/O42:H16
GCF_037528475.1_ASM3752847v1	0	0	0	O49:H10
GCF_037529465.1_ASM3752946v1	0	0	0	O84:H14
GCF_037542475.1_ASM3754247v1	0	0	0	O137:H6
GCF_037543765.1_ASM3754376v1	0	0	0	O33:H6
GCF_037546845.1_ASM3754684v1	0	0	0	O81:H6
GCF_037553545.1_ASM3755354v1	0	0	0	-:H6
GCF_037553955.1_ASM3755395v1	0	0	0	O90/O127:H40
GCF_037557155.1_ASM3755715v1	0	0	0	O107/O117:H21
GCF_037560265.1_ASM3756026v1	0	0	0	O25:H48
GCF_037565025.1_ASM3756502v1	0	0	0	O156:H1
GCF_037572835.1_ASM3757283v1	0	0	0	O123/O186:H40
GCF_037623895.1_ASM3762389v1	0	0	0	O174:H7
GCF_037920625.1_ASM3792062v1	0	0	0	O107/O117:H21
GCF_039909185.1_ASM3990918v1	0	0	0	O45:H11
GCF_039909355.1_ASM3990935v1	0	0	0	O45:H11
GCF_039909435.1_ASM3990943v1	0	0	0	O45:H11
GCF_039909525.1_ASM3990952v1	0	0	0	O45:H11
GCF_045344495.1_ASM4534449v1	0	0	0	O85:H21
GCF_045344505.1_ASM4534450v1	0	0	0	O107/O117:H21
GCF_045344615.1_ASM4534461v1	0	0	0	O51:H49
GCF_045344725.1_ASM4534472v1	0	0	0	O145:H34
GCF_045344995.1_ASM4534499v1	0	0	0	-:H48
GCF_045345065.1_ASM4534506v1	0	0	0	O70:H11
GCF_048569035.1_ASM4856903v1	0	0	0	O26:H11
GCF_051012475.1_ASM5101247v1	0	0	0	O26:H11
GCF_051012485.1_ASM5101248v1	0	0	0	O26:H11
GCF_900149875.1_EPEC1	0	0	0	O127:H6
GCF_900149915.1_EPEC	0	0	0	O127:H6
GCF_902810315.1_SC434	0	0	0	O71:H27
GCF_902810345.1_SC455	0	0	0	O71:H27
GCF_902810395.1_SC477	0	0	0	O71:H27
