Sample	espK	espN	espV	Serotype
GCA_000008865.2_ASM886v2	1	1	1	O157:H7
GCA_000010745.1_ASM1074v1	1	1	1	O103:H2
GCA_000010765.1_ASM1076v1	1	1	1	O111:H8
GCA_000021125.1_ASM2112v1	1	1	1	O157:H7
GCA_000022225.1_ASM2222v1	1	1	1	O157:H7
GCA_000091005.1_ASM9100v1	1	1	1	O26:H11
GCA_000262125.1_ASM26212v1	1	1	1	O157:H7
GCA_000520035.1_ASM52003v1	1	1	1	O145:-
GCA_000520055.1_ASM52005v1	1	1	1	O145:-
GCA_000662395.1_ASM66239v1	1	1	1	O145:-
GCA_000671295.1_ASM67129v1	1	1	1	O145:-
GCA_000730345.1_ASM73034v1	1	1	1	O157:H7
GCA_000732965.1_ASM73296v1	1	1	1	O157:H7
GCA_000803705.1_ASM80370v1	1	1	1	O157:H7
GCA_000978815.2_ASM97881v2	1	1	1	-:H7
GCA_000978845.2_ASM97884v2	1	1	1	O157:H7
GCA_001307215.1_ASM130721v1	0	0	1	O157:H7
GCA_001420935.1_ASM142093v1	1	1	1	O165:H25
GCA_001558995.2_ASM155899v2	1	1	1	O157:H7
GCA_001612475.1_ASM161247v1	1	1	1	O157:H7
GCA_001612495.1_ASM161249v1	1	1	1	O157:H7
GCA_001645235.2_ASM164523v2	0	1	1	O153:H2
GCA_001650275.1_ASM165027v1	1	1	1	O157:H7
GCA_001650295.1_ASM165029v1	1	1	1	O157:H7
GCA_001651925.2_ASM165192v2	1	1	1	O157:H7
GCA_001651945.2_ASM165194v2	1	1	1	O157:H7
GCA_001651965.2_ASM165196v2	1	1	1	O157:H7
GCA_001695515.1_ASM169551v1	1	1	1	O157:H7
GCA_001721125.1_ASM172112v1	1	1	1	O26:H11
GCA_001721205.1_ASM172120v1	0	1	1	O145:H25
GCA_001721225.1_ASM172122v1	0	1	1	O145:H25
GCA_001753445.1_ASM175344v1	1	1	1	O157:H7
GCA_001753465.1_ASM175346v1	1	1	1	O157:H7
GCA_001753485.1_ASM175348v1	1	1	1	O157:H7
GCA_001753505.1_ASM175350v1	1	1	1	O157:H7
GCA_001753525.1_ASM175352v1	1	1	1	O157:H7
GCA_001753545.1_ASM175354v1	1	1	1	O157:H7
GCA_001753565.1_ASM175356v1	1	1	1	O157:H7
GCA_001806265.1_ASM180626v1	1	1	1	O157:H7
GCA_001806285.1_ASM180628v1	1	1	1	O157:H7
GCA_001865295.1_ASM186529v1	1	1	1	O157:H7
GCA_001890205.1_ASM189020v1	1	1	1	O157:H7
GCA_001890225.1_ASM189022v1	1	1	1	O157:H7
GCA_001890245.1_ASM189024v1	1	1	1	O157:H7
GCA_001890265.1_ASM189026v1	1	1	1	O157:H7
GCA_001890285.2_ASM189028v2	1	1	1	O157:H7
GCA_001890305.1_ASM189030v1	1	1	1	O157:H7
GCA_001890325.1_ASM189032v1	1	1	1	O157:H7
GCA_001890345.1_ASM189034v1	1	1	1	O157:H7
GCA_002055605.1_ASM205560v1	0	0	1	O182:H25
GCA_002057245.1_ASM205724v1	0	1	1	O156:H25
GCA_002156825.1_ASM215682v1	1	1	1	O111:H8
GCA_002156845.1_ASM215684v1	1	1	1	O111:H8
GCA_002208865.2_ASM220886v2	1	1	1	O157:H7
GCA_002215155.1_ASM221515v1	0	1	1	O103:H2
GCA_002220265.1_ASM222026v1	1	1	1	O157:H7
GCA_002249955.1_ASM224995v1	1	1	1	O157:H7
GCA_002844165.1_ASM284416v1	1	1	1	O121:H19
GCA_002863665.1_ASM286366v1	1	1	1	O177:H25
GCA_002863685.1_ASM286368v1	1	1	1	O177:H25
GCA_002863885.1_ASM286388v1	1	0	0	O177:H25
GCA_003017375.1_ASM301737v1	0	1	1	O103:H2
GCA_003017455.1_ASM301745v1	1	1	1	O111:H8
GCA_003017555.1_ASM301755v1	1	1	1	O111:H8
GCA_003017805.1_ASM301780v1	1	1	1	O165:H25
GCA_003017915.1_ASM301791v1	1	1	1	O71:H11
GCA_003017955.1_ASM301795v1	1	1	1	O111:H8
GCA_003017975.1_ASM301797v1	1	1	1	O111:H8
GCA_003018035.1_ASM301803v1	1	1	1	O26:H11
GCA_003018055.1_ASM301805v1	1	1	1	O69:H11
GCA_003018075.1_ASM301807v1	1	1	1	O172:H25
GCA_003018135.1_ASM301813v1	1	1	0	O118/O151:H16
GCA_003018155.1_ASM301815v1	0	0	1	O156:H25
GCA_003018315.1_ASM301831v1	1	1	1	O123/O186:H11
GCA_003018375.1_ASM301837v1	0	1	0	O5:H9
GCA_003018395.1_ASM301839v1	0	0	1	O177:H25
GCA_003018435.1_ASM301843v1	1	1	1	O172:H25
